Zone,Addresse,Nom,Nb affiches,Dernier Collage,Décollé?,Nom Itinéraire,Pos Itinéraire,Coordonnées,Officiel
L'isle D'espagnac,"32 Rue Denis Papin, 16340 L'Isle-d'Espagnac",Papin,2,26/05/2022 18:05:00,FALSE,B,2,"45.658723, 0.190853",FALSE
Angoulême,"159 Rue Jules Durandeau, 16000 Angoulême",Jules Durandeau,8,29/05/2022 17:48:02,FALSE,D,4,"45.663715,0.151748",FALSE
Angoulême,"72 Rue de Beaulieu, 16000 Angoulême",Beaulieu,4,26/05/2022 19:29:42,FALSE,D,8,"45.650599, 0.148989",FALSE
Angoulême,"17 Rue Gontran Labregere, 16000 Angoulême",Labregere,4,29/05/2022 17:44:07,FALSE,D,5,"45.6618164,0.1449709",FALSE
Angoulême,"2 Rue Pierre Brossolette, 16000 Angoulême",Rue de Limoges,6,29/05/2022 15:53:11,FALSE,B,3,"45.659184, 0.175206",FALSE
RUELLE,"22 Pl. du Champ de Mars, 16600 Ruelle-sur-Touvre",Pl. du Champ de Mars,8,29/05/2022 15:26:11,FALSE,B,1,"45.6781634,0.2286951",FALSE
Angoulême,"19 Rue de la Cigogne, 16000 Angoulême",La Cigogne,2,26/05/2022 20:33:56,FALSE,D,1,"45.636789, 0.180832",FALSE
Angoulême,"65 Rue de la Loire, 16000 Angoulême",Saint-Gelais,4,29/05/2022 16:47:04,FALSE,C,5,"45.645174, 0.162315",FALSE
Angoulême,"12 Rue de la Belle Allée du Petit Fresquet, 16000 Angoulême",Petit Fresquet,8,26/05/2022 20:32:16,FALSE,C,4,"45.639137, 0.171845",FALSE
Soyaux,"18B Rue du Dr Fernand Lamaze, 16800 Soyaux",Fernand Lamaze,3,26/05/2022 20:45:30,FALSE,C,2,"45.642588, 0.182261",FALSE
Soyaux,"12 Av. du Petureau, 16800 Soyaux",Av. du Petureau,6,26/05/2022 20:33:59,FALSE,C,1,"45.638872,0.193528",FALSE
Angoulême,"143 Rue de Montmoreau, 16000 Angoulême",Montmoreau,4,22/04/2022 23:33:07,FALSE,C,6,"45.641484, 0.157106",FALSE
Angoulême,"Rue Pierre Aumaitre, 16000 Angoulême",Pierre Aumaitre,1,29/05/2022 17:31:23,FALSE,E,1,"45.649403, 0.129630",FALSE
Angoulême,"Rue Emile Peyronnet, 16000 Angoulême",Emile Peyronnet,1,2022-02-18,TRUE,E,2,"45.6493499,0.1133838",FALSE
Angoulême,"Rue Théodore Botrel, 16006 Angoulême",Théodore Botrel,,29/05/2022 16:12:10,FALSE,B,6,"45.653627, 0.168985",FALSE
Angoulême,"Rue Paul Mairat, 16006 Angoulême",Paul Mairat,,12/04/2022 22:48:42,FALSE,B,4,"45.656128, 0.173252",FALSE
Angoulême,"Rue Marguerite d'Angoulême, 16006 Angoulême",Marguerite d'Angoulême,,29/05/2022 16:03:16,FALSE,B,5,"45.654789, 0.175617",FALSE
Angoulême,"Bd de la République, 16006 Angoulême",Boulevard de la République,1,2022-02-18,TRUE,D,2,"45.6511717,0.1702666",FALSE
Angoulême,"Rue Claude Bonnier, 16000 Angoulême",Claude Bonnier,,29/05/2022 17:17:47,FALSE,C,12,"45.630673, 0.141080",FALSE
Angoulême,"Rue du Canada, 16000 Angoulême",Canada,,22/04/2022 23:30:06,FALSE,C,8,"45.639391,0.1532643",FALSE
Angoulême,"Bd Jacques Monod, 16000 Angoulême",Boulevard Jacques Monod,,29/05/2022 17:10:57,FALSE,C,11,"45.631771, 0.155872",FALSE
Angoulême,"Av. de Navarre, Angoulême",Avenue de Navarre,,2022-02-18,TRUE,C,9,"45.6279867,0.1535572",FALSE
Vindelle,"Rue du Champ de Foire, 16430 Vindelle",Champ de Foire,6,2022-02-18,FALSE,Undefined,,"45.7212551,0.1214022",FALSE
La Couronne,"Rue du 19 Mars 1962, 16400 La Couronne",Rue du 19 mars 1962,1,28/05/2022 08:52:46,FALSE,A,3,"45.610699, 0.099944",FALSE
La Couronne,"Pl. du 14 Juillet, 16400 La Couronne",Place du 14 Juillet,1,28/05/2022 08:52:48,FALSE,A,4,"45.609268, 0.097255",FALSE
La Couronne,"16400 La Couronne, France",Chez Dion,1,26/04/2022 18:49:52,FALSE,A,9,"45.613118, 0.071743",FALSE
La Couronne,"16400 La Couronne, France",Les Barrets,1,03/05/2022 21:16:13,FALSE,A,10,"45.611885, 0.086179",FALSE
